1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
S. Edberg,S. Edberg,S. Edberg,P. Sampras,P. Sampras,A. Agassi,P. Sampras,P. Sampras,P. Sampras,A. Agassi
B. Becker,B. Becker,J. Courier,J. Courier,M. Stich,P. Sampras,M. Chang,M. Chang,P. Rafter,Y. Kafelnikov
I. Lendl,J. Courier,P. Sampras,B. Becker,G. Ivanisevic,T. Muster,T. Muster,P. Rafter,M. Rios,P. Sampras
A. Agassi,I. Lendl,M. Chang,S. Bruguera,S. Bruguera,B. Becker,G. Ivanisevic,Y. Kafelnikov,P. Korda,T. Martin
A. Gomez,M. Stich,G. Ivanisevic,S. Edberg,S. Edberg,M. Chang,Y. Kafelnikov,C. Moya,C. Moya,G. Kuerten
P. Sampras,G. Forget,A. Agassi,M. Stich,T. Martin,Y. Kafelnikov,B. Becker,S. Bruguera,K. Kucera,G. Rusedski
T. Muster,P. Sampras,P. Korda,A. Medvedev,B. Becker,G. Ivanisevic,W. Ferreira,M. Rios,A. Corretja,T. Henman
E. Sanchez,A. Agassi,B. Becker,M. Chang,M. Chang,T. Enqvist,R. Krajicek,G. Ivanisevic,A. Agassi,M. Rios
B. Gilbert,K. Novacek,I. Lendl,G. Ivanisevic,A. Berasategui,J. Courier,A. Agassi,A. Corretja,R. Krajicek,R. Krajicek
G. Ivanisevic,S. Bruguera,W. Ferreira,R. Krajicek,A. Agassi,S. Bruguera,M. Rios,G. Rusedski,Y. Kafelnikov,A. Corretja
J. McEnroe,M. Gustafsson,C. Costa,P. Korda,A. Medvedev,M. Rosset,J. Courier,G. Kuerten,T. Henman,T. Haas
A. Chesnokov,E. Sanchez,M. Washington,T. Muster,Y. Kafelnikov,M. Stich,M. Washington,T. Muster,G. Ivanisevic,N. Kiefer
A. Krickstein,D. Wheaton,G. Forget,C. Pioline,W. Ferreira,R. Krajicek,T. Martin,J. Bjorkman,J. Bjorkman,P. Rafter
G. Perez-Roldan,P. Korda,R. Krajicek,A. Volkov,J. Courier,W. Ferreira,T. Enqvist,F. Mantilla,M. Philippoussis,N. Lapentti
M. Chang,G. Ivanisevic,M. Stich,I. Lendl,T. Muster,M. Larsson,A. Costa,T. Enqvist,G. Rusedski,C. Moya
G. Forget,A. Cherkasov,A. Volkov,W. Masur,P. Korda,A. Medvedev,F. Mantilla,P. Korda,A. Costa,C. Pioline
J. Berger,G. Prpic,A. Krickstein,K. Novacek,M. Rosset,A. Berasategui,C. Pioline,B. Becker,A. Berasategui,T. Enqvist
J. Courier,J. Hlasek,S. Bruguera,T. Martin,M. Gustafsson,A. Gaudenzi,A. Berasategui,R. Krajicek,C. Pioline,F. Mantilla
J. Svensson,D. Rostagno,T. Muster,M. Gustafsson,J. Yzaga,T. Martin,S. Edberg,A. Costa,T. Enqvist,V. Spadea
J. Aguilera,M. Chang,J. McEnroe,M. Rosset,C. Costa,S. Edberg,M. Philippoussis,T. Henman,J. Siemerink,K. Kucera
M. Jaite,B. Gilbert,B. Gilbert,A. Agassi,J. Stoltenberg,G. Schaller,M. Stich,M. Philippoussis,F. Mantilla,M. Philippoussis
H. Leconte,J. Svensson,K. Novacek,W. Ferreira,A. Gaudenzi,P. Haarhuis,A. Boetsch,M. Rosset,T. Johansson,D. Hrbaty
H. Skoff,A. Mancini,A. Mansdorf,H. Holm,P. Rafter,J. Eltingh,M. Rosset,C. Pioline,T. Muster,M. Norman
M. Gustafsson,A. Volkov,E. Sanchez,A. Boetsch,A. Boetsch,J. Siemerink,A. Corretja,J. Courier,M. Gustafsson,T. Johansson
R. Fromberg,J. McEnroe,F. Clavet,G. Forget,C. Pioline,A. Costa,C. Moya,M. Larsson,N. Kiefer,A. Costa
J. Hlasek,A. Chesnokov,C. Steeb,A. Mansdorf,M. Washington,P. Korda,J. Stoltenberg,A. Medvedev,F. Clavet,F. Meligeni
K. Novacek,H. Skoff,J. Arrese,A. Chesnokov,P. Haarhuis,A. Boetsch,F. Clavet,A. Berasategui,G. Kuerten,Y. El Aynaoui
R. Agenor,R. Reneberg,A. Cherkasov,M. Woodforde,I. Lendl,A. Corretja,P. Haarhuis,T. Woodbridge,T. Martin,M. Zabaleta
R. Reneberg,A. Jarryd,J. Hlasek,M. Washington,S. Dosedel,P. McEnroe,J. Siemerink,M. Norman,B. Black,J. Golmard
P. Korda,J. Sanchez,A. Medvedev,R. Reneberg,K. Novacek,A. Volkov,R. Reneberg,C. Woodruff,F. Santoro,S. Grosjean
A. Cherkasov,P. Haarhuis,O. Camporese,M. Goellner,A. Corretja,B. Karbacher,A. Medvedev,M. Woodforde,M. Larsson,L. Hewitt
D. Wheaton,O. Camporese,A. Mancini,B. Gilbert,R. Krajicek,C. Costa,M. Woodforde,K. Kucera,B. Ulihrach,F. Clavet
M. Rosset,M. Rosset,F. Santoro,C. Costa,B. Karbacher,M. Rios,T. Henman,A. Boetsch,M. Chang,M. Rosset
W. Masur,P. McEnroe,A. Chesnokov,J. Sanchez,M. Larsson,J. Bjorkman,M. Gustafsson,T. Johansson,N. Escude,A. Medvedev
M. Filippini,C. Caratti,J. Sanchez,M. Pernfors,J. Sanchez,B. Steven,T. Woodbridge,A. Portas,R. Fromberg,J. Novak
A. Mansdorf,T. Muster,M. Larsson,B. Steven,D. Wheaton,T. Woodbridge,B. Ulihrach,H. Arazi,W. Ferreira,M. Safin
T. Mayotte,F. Clavet,W. Masur,A. Cherkasov,R. Furlan,F. Clavet,D. Vacek,B. Ulihrach,A. Gaudenzi,J. Courier
S. Bruguera,R. Krajicek,P. Haarhuis,J. Svensson,R. Reneberg,J. Frana,R. Furlan,W. Ferreira,J. Stoltenberg,W. Ferreira
C. Van Rensburg,F. Santoro,D. Rostagno,M. Ondruska,J. Eltingh,M. Woodforde,J. Sanchez,F. Dewulf,M. Norman,F. Santoro
J. Arrese,G. Perez-Roldan,G. Markus,E. Sanchez,A. Chesnokov,C. Ruud,H. Gumy,M. Filippini,D. Hrbaty,H. Arazi
O. Camporese,J. Siemerink,A. Boetsch,M. Larsson,G. Schaller,B. Ulihrach,G. Forget,F. Santoro,V. Spadea,S. Koubek
C. Steeb,M. Jaite,F. Davin,R. Fromberg,A. Volkov,G. Forget,M. Tillstrom,J. Siemerink,T. Haas,F. Vicente
D. Rostagno,J. Arrese,G. Perez-Roldan,L. Mattar,M. Woodforde,R. Furlan,S. Dosedel,M. Goellner,H. Arazi,S. Schalken
D. Cahill,M. Koevermans,D. Wheaton,J. Stoltenberg,K. Braasch,B. Black,S. Schalken,D. Hrbaty,G. Raoux,A. Clement
Y. Noah,J. Yzaga,M. Woodforde,J. Siemerink,A. Krickstein,J. Arrese,J. Novak,M. Damm,C. Costa,G. Ivanisevic
K. Curren,C. Bergstrom,M. Filippini,J. Hlasek,H. Skoff,P. Rafter,B. Black,M. Gustafsson,D. Vacek,R. Schuettler
F. Davin,C. Steeb,C. Pioline,D. Wheaton,A. Costa,A. Krickstein,F. Dewulf,S. Dosedel,D. Sanguinetti,F. Squillari
A. Volkov,T. Champion,H. Holm,A. Krickstein,R. Fromberg,J. Sanchez,A. O'Brien,D. Prinosil,F. Meligeni,J. Ferrero
G. Prpic,R. Agenor,T. Woodbridge,A. Berasategui,J. Stark,M. Washington,H. Dreekmann,K. Alami,S. Draper,A. Pavel
J. Arias,A. Krickstein,C. Bergstrom,B. Karbacher,R. Agenor,M. Wilander,P. Korda,F. Clavet,J. Gambill,A. Ilie
J. Grabb,T. Woodbridge,S. Pescosolido,T. Enqvist,T. Enqvist,G. Rusedski,J. Hlasek,M. Stich,A. Ilie,C. Ruud
J. Fleurian,M. Larsson,B. Karbacher,N. Kulti,J. Bjorkman,J. Hlasek,P. Rafter,G. Blanco,F. Dewulf,D. Prinosil
M. Kratzmann,M. Washington,J. Tarango,C. Bergstrom,F. Santoro,D. Wheaton,C. Woodruff,J. Tarango,F. Squillari,A. Di Pasquale
K. Evernden,F. Davin,J. Siemerink,C. Steeb,O. Delaitre,M. Sinner,J. Bjorkman,J. Novak,M. Safin,J. Kroslak
T. Witsken,R. Furlan,J. Oncins,P. Haarhuis,G. Rusedski,F. Meligeni,A. Gaudenzi,J. Alonso,K. Alami,J. Gambill
G. Muller,C. Pioline,M. Gustafsson,F. Santoro,D. Vacek,A. Voinea,A. Voinea,G. Raoux,J. Golmard,J. Marin
L. Mattar,V. Paloheimo,M. Rosset,J. Stark,J. Palmer,D. Vacek,M. Larsson,B. Steven,M. Rosset,J. Stoltenberg
P. Haarhuis,W. Masur,R. Furlan,J. Yzaga,M. Damm,C. Pioline,C. Costa,S. Draper,P. Haarhuis,J. Bjorkman
S. Davis,J. Fleurian,G. Pozzi,H. Skoff,M. Zoecke,A. Chesnokov,T. Carbonell,J. Sanchez,G. Pozzi,D. Vacek
A. Antonitsch,M. Wilander,O. Delaitre,R. Furlan,S. Pescosolido,K. Kucera,C. Ruud,S. Schalken,M. Puerta,K. Alami
J. Sanchez,O. Delaitre,R. Gilbert,J. Morgan,M. Filippini,J. Palmer,V. Spadea,R. Reneberg,S. Dosedel,S. Sargsian
J. Yzaga,M. Vajda,J. Connors,S. Simian,F. Davin,S. Dosedel,A. Radulescu,T. Martin,B. Becker,A. Martin
M. Koevermans,J. Arias,J. Yzaga,G. Perez-Roldan,D. Rikl,L. Roux,K. Carlsen,B. Black,J. Alonso,M. Puerta
E. Jelen,N. Kulti,F. Roig,C. Adams,T. Carbonell,S. Matsuoka,Y. El Aynaoui,C. Ruud,M. Tillstrom,M. Chang
M. Stich,A. Mansdorf,S. Matsuoka,J. Tarango,J. Arrese,V. Spadea,D. Prinosil,D. Vacek,N. Lapentti,J. Siemerink
G. Bloom,J. Connors,R. Reneberg,J. Oncins,J. Hlasek,M. Damm,S. Bruguera,H. Gumy,R. Delgado,S. Dosedel
M. Wilander,J. Gunnarsson,T. Carbonell,D. Rostagno,H. Holm,R. Reneberg,R. Carretero,S. Sargsian,A. Voinea,D. Nestor
H. De La Pena,W. Ferreira,G. Prpic,P. McEnroe,A. Mansdorf,O. Delaitre,S. Stolle,J. Van Herck,K. Carlsen,C. Woodruff
V. Paloheimo,D. Cahill,S. Stolle,K. Carlsen,C. Adams,D. Prinosil,M. Damm,J. Stark,M. Damm,M. Hipfl
M. Srejber,C. Saceanu,J. Svensson,A. Corretja,K. Kucera,K. Carlsen,G. Rusedski,J. Stoltenberg,T. Woodbridge,M. Gustafsson
A. Rahunen,S. Matsuoka,N. Kulti,G. Raoux,B. Gilbert,A. Jarryd,N. Kulti,N. Kiefer,O. Gross,G. Canas
R. Furlan,L. Mattar,B. Wuyts,J. Burillo,J. Renzenbrink,M. Joyce,J. Burillo,H. Dreekmann,J. Courier,A. Portas
