Posicion,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,I. Nastase,J. Connors,J. Connors,J. Connors,J. Connors,J. Connors,B. Borg,B. Borg,J. McEnroe,J. Connors,J. McEnroe,J. McEnroe,I. Lendl,I. Lendl,I. Lendl,M. Wilander,I. Lendl,S. Edberg,S. Edberg,S. Edberg,P. Sampras,P. Sampras,A. Agassi,P. Sampras,P. Sampras,P. Sampras,A. Agassi,P. Sampras,G. Kuerten,L. Hewitt,J. Ferrero,R. Federer,R. Federer,R. Federer,R. Federer,R. Nadal,R. Federer,R. Nadal,N. Djokovic,R. Federer,N. Djokovic,N. Djokovic,N. Djokovic,N. Djokovic,R. Nadal,R. Nadal,N. Djokovic
2,J. Newcombe,J. Newcombe,G. Vilas,B. Borg,B. Borg,B. Borg,J. Connors,J. McEnroe,B. Borg,J. McEnroe,I. Lendl,J. Connors,J. McEnroe,M. Wilander,S. Edberg,I. Lendl,B. Becker,B. Becker,B. Becker,J. Courier,J. Courier,M. Stich,P. Sampras,M. Chang,M. Chang,P. Rafter,Y. Kafelnikov,M. Safin,A. Agassi,T. Haas,A. Roddick,A. Roddick,R. Nadal,R. Nadal,R. Nadal,R. Federer,R. Nadal,N. Djokovic,R. Nadal,N. Djokovic,R. Nadal,R. Nadal,R. Federer,A. Murray,R. Federer,R. Federer,R. Nadal
3,M. Orantes,R. Laver,M. Orantes,G. Vilas,B. Gottfried,G. Vilas,J. McEnroe,J. Connors,J. Connors,I. Lendl,J. Connors,I. Lendl,M. Wilander,S. Edberg,M. Wilander,S. Edberg,S. Edberg,I. Lendl,J. Courier,P. Sampras,B. Becker,G. Ivanisevic,T. Muster,T. Muster,P. Rafter,M. Rios,P. Sampras,G. Kuerten,L. Hewitt,A. Agassi,R. Federer,L. Hewitt,A. Roddick,I. Ljubicic,N. Djokovic,N. Djokovic,A. Murray,R. Federer,R. Federer,A. Murray,A. Murray,R. Federer,A. Murray,S. Wawrinka,A. Murray,N. Djokovic,R. Federer
4,S. Smith,B. Borg,B. Borg,I. Nastase,G. Vilas,V. Gerulaitis,R. Tanner,G. Vilas,I. Lendl,G. Vilas,Y. Noah,M. Wilander,J. Connors,B. Becker,B. Becker,A. Agassi,J. McEnroe,A. Agassi,I. Lendl,M. Chang,S. Bruguera,S. Bruguera,B. Becker,G. Ivanisevic,Y. Kafelnikov,P. Korda,T. Martin,M. Norman,P. Rafter,M. Safin,A. Agassi,T. Henman,M. Safin,D. Nalbandian,N. Davydenko,A. Murray,N. Djokovic,A. Murray,A. Murray,R. Nadal,D. Ferrer,S. Wawrinka,S. Wawrinka,R. Nadal,A. Zverev,J. del Potro,D. Medvedev
5,J. Connors,T. Okker,A. Ashe,A. Panatta,M. Orantes,E. Dibbs,V. Gerulaitis,H. Solomon,J. Clerc,V. Gerulaitis,M. Wilander,A. Gomez,K. Curren,H. Leconte,J. Connors,B. Becker,M. Chang,A. Gomez,M. Stich,G. Ivanisevic,S. Edberg,S. Edberg,M. Chang,Y. Kafelnikov,C. Moya,C. Moya,G. Kuerten,A. Agassi,J. Ferrero,T. Henman,G. Coria,G. Coria,L. Hewitt,N. Davydenko,A. Roddick,D. Ferrer,J. del Potro,R. Soderling,D. Ferrer,D. Ferrer,R. Federer,D. Ferrer,T. Berdych,K. Nishikori,M. Cilic,A. Zverev,D. Thiem
6,T. Okker,S. Smith,I. Nastase,R. Ramirez,V. Gerulaitis,B. Gottfried,G. Vilas,G. Mayer,G. Vilas,G. Mayer,J. Arias,A. Jarryd,Y. Noah,Y. Noah,M. Mecir Sr.,K. Carlsson,B. Gilbert,P. Sampras,G. Forget,A. Agassi,M. Stich,T. Martin,Y. Kafelnikov,B. Becker,S. Bruguera,K. Kucera,G. Rusedski,T. Enqvist,Y. Kafelnikov,J. Ferrero,C. Moya,C. Moya,A. Agassi,A. Roddick,F. González,N. Davydenko,A. Roddick,N. Davydenko,R. Soderling,T. Berdych,T. Berdych,M. Raonic,K. Nishikori,M. Raonic,N. Djokovic,M. Cilic,A. Zverev
7,K. Rosewall,K. Rosewall,K. Rosewall,E. Dibbs,R. Ramirez,C. Barazzutti,J. Higueras,V. Gerulaitis,G. Mayer,J. Higueras,K. Curren,J. Arias,A. Jarryd,J. Connors,P. Cash,P. Cash,A. Agassi,T. Muster,P. Sampras,P. Korda,A. Medvedev,B. Becker,G. Ivanisevic,W. Ferreira,M. Rios,A. Corretja,T. Henman,L. Hewitt,M. Safin,Y. Kafelnikov,L. Hewitt,A. Agassi,N. Davydenko,T. Robredo,J. Blake,D. Nalbandian,J. Tsonga,T. Berdych,J. Tsonga,J. Tsonga,J. del Potro,T. Berdych,R. Nadal,R. Federer,D. Thiem,G. Dimitrov,S. Tsitsipas
8,J. Kodes,A. Ashe,J. Newcombe,A. Ashe,E. Dibbs,R. Ramirez,A. Ashe,I. Lendl,R. Tanner,P. McNamara,J. Clerc,H. Sundstrom,B. Becker,M. Mecir Sr.,Y. Noah,Y. Noah,T. Mayotte,E. Sanchez,A. Agassi,B. Becker,M. Chang,M. Chang,T. Enqvist,R. Krajicek,G. Ivanisevic,A. Agassi,M. Rios,Y. Kafelnikov,T. Henman,A. Costa,R. Schuettler,G. Gaudio,G. Coria,M. Baghdatis,D. Ferrer,A. Roddick,N. Davydenko,F. Verdasco,M. Fish,J. del Potro,J. Tsonga,K. Nishikori,D. Ferrer,G. Monfils,G. Dimitrov,D. Thiem,K. Nishikori
9,A. Ashe,I. Nastase,T. Okker,M. Orantes,I. Nastase,R. Tanner,H. Solomon,E. Dibbs,E. Teltscher,J. Clerc,J. Higueras,Y. Noah,S. Edberg,J. Nystrom,J. McEnroe,J. Connors,J. Hlasek,B. Gilbert,K. Novacek,I. Lendl,G. Ivanisevic,A. Berasategui,J. Courier,A. Agassi,A. Corretja,R. Krajicek,R. Krajicek,A. Corretja,S. Grosjean,S. Grosjean,D. Nalbandian,M. Safin,D. Nalbandian,J. Blake,T. Robredo,S. Wawrinka,F. Verdasco,M. Youzhny,G. Monfils,J. Tipsarevic,R. Gasquet,M. Cilic,M. Raonic,T. Berdych,S. Wawrinka,K. Anderson,K. Khachanov
10,R. Laver,G. Vilas,R. Laver,H. Solomon,D. Stockton,M. Orantes,V. Pecci Sr.,J. Clerc,B. Teacher,Y. Noah,G. Vilas,P. Cash,J. Nystrom,M. Pernfors,K. Carlsson,T. Mayotte,A. Mancini,G. Ivanisevic,S. Bruguera,W. Ferreira,R. Krajicek,A. Agassi,S. Bruguera,M. Rios,G. Rusedski,Y. Kafelnikov,A. Corretja,T. Henman,P. Sampras,C. Moya,S. Grosjean,N. Massú,M. Puerta,R. Stepanek,T. Berdych,J. Blake,G. Simon,A. Roddick,T. Berdych,J. Isner,S. Wawrinka,G. Dimitrov,G. Simon,D. Thiem,P. Carreño Busta,J. Isner,R. Bautista Agut
