2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
P. Sampras,G. Kuerten,L. Hewitt,J. Ferrero,R. Federer,R. Federer,R. Federer,R. Federer,R. Nadal,R. Federer
M. Safin,A. Agassi,T. Haas,A. Roddick,A. Roddick,R. Nadal,R. Nadal,R. Nadal,R. Federer,R. Nadal
G. Kuerten,L. Hewitt,A. Agassi,R. Federer,L. Hewitt,A. Roddick,I. Ljubicic,N. Djokovic,N. Djokovic,A. Murray
M. Norman,P. Rafter,M. Safin,A. Agassi,T. Henman,M. Safin,D. Nalbandian,N. Davydenko,A. Murray,N. Djokovic
A. Agassi,J. Ferrero,T. Henman,G. Coria,G. Coria,L. Hewitt,N. Davydenko,A. Roddick,D. Ferrer,J. del Potro
T. Enqvist,Y. Kafelnikov,J. Ferrero,C. Moya,C. Moya,A. Agassi,A. Roddick,F. González,N. Davydenko,A. Roddick
L. Hewitt,M. Safin,Y. Kafelnikov,L. Hewitt,A. Agassi,N. Davydenko,T. Robredo,J. Blake,D. Nalbandian,J. Tsonga
Y. Kafelnikov,T. Henman,A. Costa,R. Schuettler,G. Gaudio,G. Coria,M. Baghdatis,D. Ferrer,A. Roddick,N. Davydenko
A. Corretja,S. Grosjean,S. Grosjean,D. Nalbandian,M. Safin,D. Nalbandian,J. Blake,T. Robredo,S. Wawrinka,F. Verdasco
T. Henman,P. Sampras,C. Moya,S. Grosjean,N. Massú,M. Puerta,R. Stepanek,T. Berdych,J. Blake,G. Simon
F. Squillari,A. Corretja,A. Roddick,P. Srichaphan,S. Grosjean,G. Gaudio,M. Ancic,T. Haas,F. González,R. Soderling
J. Ferrero,R. Federer,J. Novak,J. Novak,J. Ferrero,R. Gasquet,F. González,I. Ljubicic,R. Gasquet,F. González
N. Kiefer,A. Clement,R. Federer,S. Schalken,D. Nalbandian,D. Ferrer,T. Berdych,G. Canas,J. del Potro,G. Monfils
C. Pioline,T. Haas,P. Sampras,M. Verkerk,R. Schuettler,T. Johansson,T. Haas,R. Gasquet,I. Karlovic,D. Nalbandian
M. Philippoussis,A. Roddick,G. Canas,M. Philippoussis,A. Pavel,I. Ljubicic,D. Ferrer,C. Moya,F. Verdasco,M. Cilic
N. Lapentti,G. Ivanisevic,T. Johansson,A. Calleri,J. Johansson,R. Stepanek,A. Murray,J. Chela,T. Robredo,T. Berdych
M. Rios,T. Johansson,S. Schalken,G. Kuerten,T. Robredo,T. Robredo,J. Nieminen,M. Youzhny,G. Simon,R. Stepanek
M. Puerta,F. Santoro,D. Nalbandian,T. Robredo,D. Hrbaty,F. González,J. Ferrero,A. Murray,N. Almagro,T. Robredo
P. Rafter,C. Moya,Y. El Aynaoui,Y. El Aynaoui,N. Kiefer,D. Hrbaty,L. Hewitt,J. Mónaco,I. Andreev,D. Ferrer
W. Ferreira,J. Gambill,A. Corretja,F. González,P. Srichaphan,J. Ferrero,G. Gaudio,M. Baghdatis,J. Tsonga,T. Haas
R. Krajicek,G. Canas,G. Gaudio,F. Mantilla,F. González,R. Ginepri,N. Djokovic,L. Hewitt,M. Youzhny,J. Ferrero
Y. El Aynaoui,A. Portas,M. Rios,A. Costa,J. Chela,T. Dent,D. Tursunov,D. Nalbandian,M. Cilic,S. Wawrinka
A. Costa,N. Lapentti,J. Chela,M. Fish,V. Spadea,F. López,N. Kiefer,J. Ferrero,M. Fish,P. Kohlschreiber
M. Chang,S. Schalken,F. González,M. Zabaleta,G. Kuerten,M. Ancic,M. Youzhny,P. Mathieu,N. Kiefer,J. Blake
J. Gambill,A. Pavel,X. Malisse,W. Ferreira,M. Ancic,J. Novak,J. Acasuso,J. Nieminen,P. Mathieu,S. Querrey
A. Pavel,G. Rusedski,J. Blake,M. Safin,J. Novak,M. Youzhny,R. Gasquet,N. Almagro,D. Tursunov,L. Hewitt
S. Grosjean,N. Escude,M. Mirnyi,M. Mirnyi,I. Ljubicic,M. Mirnyi,D. Hrbaty,M. Safin,T. Berdych,P. Mathieu
A. Clement,D. Hrbaty,R. Schuettler,N. Massú,M. Fish,T. Henman,F. Verdasco,P. Starace,A. Seppi,V. Hanescu
N. Escude,H. Arazi,T. Enqvist,F. López,T. Dent,G. Rusedski,G. Monfils,D. Tursunov,R. Stepanek,D. Sela
G. Gaudio,T. Enqvist,N. Lapentti,Y. Kafelnikov,G. Canas,G. Canas,O. Rochus,I. Karlovic,G. Monfils,N. Almagro
B. Black,G. Coria,P. Srichaphan,V. Spadea,F. López,O. Rochus,A. Calleri,G. Simon,M. Ancic,I. Karlovic
M. Rosset,T. Robredo,A. Pavel,K. Kucera,T. Haas,C. Moya,J. Bjorkman,P. Kohlschreiber,P. Kohlschreiber,V. Troicki
D. Hrbaty,B. Ulihrach,W. Ferreira,G. Gaudio,M. Youzhny,S. Grosjean,K. Vliegen,F. Volandri,J. Nieminen,J. Chardy
K. Alami,M. Norman,G. Rusedski,R. Ginepri,F. Mayer,J. Blake,R. Soderling,R. Soderling,R. Soderling,F. López
F. Santoro,W. Ferreira,J. Nieminen,M. Youzhny,L. Horna,J. Johansson,J. Chela,R. Stepanek,R. Schuettler,P. Petzschner
R. Federer,A. Costa,T. Robredo,J. Blake,F. Santoro,N. Kiefer,S. Grosjean,F. Verdasco,M. Llodra,J. Benneteau
H. Arazi,A. Martin,I. Ljubicic,J. Nieminen,J. Melzer,T. Berdych,X. Malisse,I. Andreev,F. López,J. Mónaco
G. Rusedski,M. Philippoussis,S. Koubek,J. Bjorkman,F. Verdasco,F. Verdasco,F. Volandri,D. Hrbaty,M. Safin,D. Tursunov
T. Martin,X. Malisse,G. Kuerten,T. Henman,M. Llodra,T. Haas,I. Andreev,H. Lee,S. Querrey,J. Melzer
J. Golmard,N. Kiefer,M. Kratochvil,A. Clement,I. Andreev,V. Hanescu,R. Ginepri,M. Fish,M. Gicquel,F. Santoro
