1973,1974,1975,1976,1977,1978,1979
I. Nastase,J. Connors,J. Connors,J. Connors,J. Connors,J. Connors,B. Borg
J. Newcombe,J. Newcombe,G. Vilas,B. Borg,B. Borg,B. Borg,J. Connors
M. Orantes,R. Laver,M. Orantes,G. Vilas,B. Gottfried,G. Vilas,J. McEnroe
S. Smith,B. Borg,B. Borg,I. Nastase,G. Vilas,V. Gerulaitis,R. Tanner
J. Connors,T. Okker,A. Ashe,A. Panatta,M. Orantes,E. Dibbs,V. Gerulaitis
T. Okker,S. Smith,I. Nastase,R. Ramirez,V. Gerulaitis,B. Gottfried,G. Vilas
K. Rosewall,K. Rosewall,K. Rosewall,E. Dibbs,R. Ramirez,C. Barazzutti,J. Higueras
J. Kodes,A. Ashe,J. Newcombe,A. Ashe,E. Dibbs,R. Ramirez,A. Ashe
A. Ashe,I. Nastase,T. Okker,M. Orantes,I. Nastase,R. Tanner,H. Solomon
R. Laver,G. Vilas,R. Laver,H. Solomon,D. Stockton,M. Orantes,V. Pecci Sr.
R. Taylor,A. Metreveli,T. Roche,B. Gottfried,H. Solomon,S. Mayer,E. Dibbs
A. Panatta,M. Riessen,J. Alexander,K. Rosewall,R. Tanner,H. Solomon,P. Fleming
N. Pilic,M. Orantes,R. Tanner,R. Tanner,M. Cox,J. McEnroe,J. Clerc
T. Gorman,H. Solomon,R. Ramirez,S. Smith,W. Fibak,A. Ashe,G. Mayer
M. Riessen,R. Tanner,H. Solomon,W. Fibak,C. Barazzutti,J. Clerc,W. Fibak
P. Bertolucci,J. Kodes,V. Gerulaitis,D. Stockton,S. Smith,I. Nastase,P. Dupre
C. Richey,C. Drysdale,J. Fillol Sr.,C. Barazzutti,K. Rosewall,J. Higueras,T. Gullikson
R. Emerson,T. Gorman,O. Parun,J. Kodes,P. Dent,W. Fibak,B. Gottfried
M. Cox,D. Stockton,D. Stockton,T. Okker,J. Alexander,J. Alexander,J. Alexander
V. Amritraj,E. Dibbs,M. Riessen,V. Gerulaitis,J. Fillol Sr.,D. Stockton,A. Panatta
B. Gottfried,R. Ramirez,J. Kodes,J. Newcombe,T. Roche,B. Mottram,U. Pinner
R. Tanner,J. Alexander,C. Richey,J. Fillol Sr.,A. Panatta,J. Newcombe,S. Smith
J. Fillol Sr.,J. Fillol Sr.,E. Dibbs,R. Lutz,J. Borowiak,K. Rosewall,H. Gildemeister
B. Fairlie,A. Pattison,M. Cox,S. Mayer,A. Ashe,T. Gullikson,M. Orantes
D. Stockton,F. Jauffret,B. Gottfried,R. Case,J. McEnroe,S. Smith,V. Amaya
C. Drysdale,T. Roche,A. Panatta,C. Drysdale,S. Mayer,J. Lloyd,E. Teltscher
J. Alexander,M. Cox,R. Lutz,O. Parun,R. Lutz,R. Lutz,B. Taroczy
K. Meiler,C. Richey,R. Case,V. Amritraj,P. Bertolucci,T. Roche,T. Smid
R. Ramirez,N. Pilic,K. Meiler,C. Richey,C. Drysdale,B. Taroczy,J. Kriek
G. Vilas,B. Gottfried,S. Smith,B. Mottram,B. Mottram,H. Gildemeister,I. Lendl
B. Borg,P. Dent,P. Dent,F. Jauffret,T. Okker,A. Panatta,I. Nastase
A. Metreveli,R. Emerson,B. Hewitt,B. Taroczy,A. Zugarelli,C. Lewis (NZL),C. Barazzutti
R. Lutz,A. Panatta,V. Amritraj,T. Roche,J. Higueras,P. Fleming,S. Mayer
J. Fassbender,O. Parun,A. Pattison,J. Alexander,B. Taroczy,T. Gorman,B. Teacher
C. Dibley,J. Hrebec,S. Mayer,R. Moore,J. Kodes,J. Kriek,V. Amritraj
O. Parun,R. Case,J. Gisbert Sr,T. Gorman,Z. Franulovic,K. Meiler,Y. Noah
E. Van Dillen,J. Gisbert Sr,K. Warwick,V. Pecci Sr.,B. Scanlon,V. Amaya,D. Stockton
F. Jauffret,B. Martin,C. Drysdale,A. Zugarelli,C. Dibley,K. Johansson,B. Mottram
P. Proisy,I. El Shafei,F. Jauffret,K. Meiler,K. Warwick,H. Pfister,M. Riessen
F. Stolle,P. Bertolucci,C. Pasarell,P. Dent,R. Moore,E. Teltscher,H. Pfister
E. Dibbs,H. Pohmann,R. Taylor,A. Pattison,D. Crealy,J. Fillol Sr.,R. Ramirez
